destination;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia (Plurinational State of);Bonaire, Sint Eustatius and Saba;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;China, Hong Kong Special Administrative Region;China, Macao Special Administrative Region;Colombia;Comoros;Congo;Cook Islands;Costa Rica;C?te d'Ivoire;Croatia;Cuba;Cura?ao;Cyprus;Czech Republic;Democratic People's Republic of Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See;Honduras;Hungary;Iceland;India;Indonesia;Iran (Islamic Republic of);Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia (Federated States of);Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Republic of Korea;Republic of Moldova;R?union;Romania;Russian Federation;Rwanda;Saint Helena;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;State of Palestine;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;Thailand;The former Yugoslav Republic of Macedonia;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;United Republic of Tanzania;United States of America;United States Virgin Islands;Uruguay;Uzbekistan;Vanuatu;Venezuela (Bolivarian Republic of);Viet Nam;Wallis and Futuna Islands;Western Sahara;Yemen;Zambia;Zimbabwe
France;3563;3611;839920;1;1313;12243;9;20;10793;6970;10;4185;12429;426;69;58;2340;45;1199;136250;7;12218;57;255;1370;88;8898;194;21756;;35;10012;4079;1431;17416;73710;39229;17588;;9041;2719;;14060;44375;2371;118;16023;20078;51524;4;448;43589;11140;2162;;1142;12288;105;34614;7210;3247;792;483;1688;23905;1064;153;171;881;4099;4;;99;4698;;;;8453;1415;1424;182688;5936;67;14818;13;;;;1719;8321;8581;32;27950;;514;14270;422;27486;4101;24869;4912;7135;13;6245;555528;493;19232;1001;464;1008;1;724;109;53552;1395;41094;10;855;1441;109;1647;8534;41245;82;2023;4;52487;969;;;12017;40565;;6712;1;3494;306;1011;6;760148;1116;716;111;;753;36645;;1300;521;1819;2886;;;3468;22;16586;;381;115;804;8418;8495;143793;831900;309;160;19409;916;;33993;22760;3354;1;6;165;;99;29;264;136;1326;78572;2021;457;759;1436;;2950;3571;4;1581;2552;;461791;35177;904;1205;284;9;11292;64818;14526;32;12851;79353;1;15461;;175;286;294250;256739;230;7;1;448;8378;283;108951;670;42863;1;2198;322;136;3463;105501;;16;970;293;411
French Guiana;;;93;;;;;;;;;;;;;;;;;145;;;;;;;;;7840;;;;;;;;;;;;;;;1440;;;;;;;;;;;;;;;;;;542;;;;;;;;;;;;;20826;;;;;;;;;;;;2271;;;;;2696;13157;;;;;;;;;;;;132;;;;;;;;;900;;;;;;;;;;;;;;;;4971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;379;;;;;;;;396;;;;;;1408;;;;;;;;;;;;;;;;;;;;;;;15472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
French Polynesia;;;710;;;;;;;;;74;;;;;;;;;;;;;;;;;;;;;;;;;;134;;;;;;641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;20959;;;;;;375;;;;;;;;;;;;;;;;;41;18;;;;;;155;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2049;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;;;;;;;126;;;;;;;;;;;;;;;;;;89;;437;;;;220;;;35;;;;
Gabon;;;52;;;522;;;;;;;;;;;;;;236;;24625;;;;;;;;;;;3298;80;;;23895;138;;;2134;;;164;;;;;7698;;;1601;;;;;;76;4202;;;;;;;;41013;;;;;;;;7581;;;;;;42;3002;;;;;;;;2348;;;;;;;;;;;;;;7;;;15;;;;;;;;;1180;;;;;;;;;;;26020;;;;;;;;;;;;;337;;;;;;;;;;;11280;;;;;;;;;;;;;;;;92;;;;;99;;;;;;;;3070;;14389;;;;;;;;;;7;;;;;;;;;;14;;;;;10858;;;;106;;;;;;;;;;259;;;;;;;;;;;
Gambia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38423;11733;;;;;;;;;;;;;;;;;;;;;;;;;;;173;;;;;;;;;8805;;;;3100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112746;;;2218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Georgia;;;;;;;;;;2554;;;;4954;;;;;10779;;;;;;;;;;;;;;;;;;;;;;;;;252;;;;;;;;;;;;;;736;;;;;;;;;;;593;;;;;;;;;;;;3209;;;;;;;;;;;;;;;;;;;;;;;;;;;;13948;;;;2225;;953;;;;;;2690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3082;;;;373;2904;;402;121909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2074;;;;;;;;;570;1060;;;;29734;;;;;;;8605;;;;;;;;
Germany;69794;11394;16238;;;;;;4732;10202;;7467;181487;12642;;;5841;;19854;22711;;1108;;;1671;;151087;;23338;;;33214;2029;429;;865;9001;11647;;;297;;6279;49190;;;8584;;1337;;762;2753;209603;7251;;933;100855;1628;14396;20265;;;4643;3541;13558;483;;5143;9153;14795;;;;15373;106502;;;241;2614;10482;;22086;;353263;;;;;653;1993;;;408;;557;88901;1500;34011;10834;104331;58884;15167;;8951;498084;1269;31276;10558;487090;4570;;;32977;1102;12990;49663;;3116;2698;163;16516;5782;646;;3415;;809;344;;;;;;5867;;;;43133;;77592;;585;;;1905;107095;;1439;615;814;14877;;;7344;;35783;;267;;826;7957;23660;670656;129271;;;21442;15857;;322922;903777;873;;;;;;;;;747;2571;597290;;5223;1062;;24447;26160;;7749;5060;;125158;48894;;;;;18246;36709;25116;8044;36573;53889;;11277;;;454;23332;1649639;3519;;;1288;155257;;111510;997;109838;;733;15193;;2950;81335;;;1693;381;
Ghana;;;8;;;;;;;;;19;;;;;;;;;;9987;;;;;;;8;;;;46451;;;;68;164;;;9;;;135;;;;;;;;5465;;;;;;;18;;;;;;23;;;;;18;;;;;130;;;;21;;;;;;;;;;;82;;;;;;;;506;;;;;;27;137;;33;;;9;;;;;;585;;13084;;;;;;;;;4004;;;;10;;;;;;;;;;;;;;;146;;;;4714;16584;;;;;52;;;;;;22;38;;;;;;;;52;299;;;;;;;;;;59;;;2385;;;;;;;;;;17;;20;;;;116;41;;;;;72060;;;;;;;;;;;;1084;7;487;;;;;;;;;;;
Gibraltar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2077;;;;;;;;;;;;;;;;;;;;;;;;;3607;;;;;;;;;;;;;
Greece;331;400253;317;14;4;19;17;14;626;8899;92;20267;2232;387;21;26;4694;8;564;4629;2;9;6;3;18;;363;3;2094;8;;38534;7;137;34;10;434;12366;10;91;24;4;391;560;51;;385;0;843;5;27;116;355;208;;22334;3692;11;1215;813;24;398;169;46;32396;34;0;99;60;2484;2;;9;841;6549;4;16;45;44;71047;100521;403;12;;8;6;20;3;33;24;7;12;32;8;33;1572;32;6983;259;1279;6875;494;12;667;5876;65;555;813;24182;365;;147;211;6;56;2207;2;21;587;6;167;98;140;;47;4;17;99;0;;5;52;;360;;22;12;;2;795;65;21;7;;14;3056;;501;30;75;1872;;4;455;3;10780;12;137;1;56;168;6061;15330;289;20;12;202;6297;6;26311;72032;125;13;6;;41;114;6;9;4;456;46;5057;33;258;70;;407;107;19;66;5497;;963;811;392;1404;2;13;5380;3535;5996;66;322;928;6;14;2;;10;291;75879;97;;77;93;16512;77;13169;398;22885;15;119;5167;5;859;224;26;4;25;240;450
Greenland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;12;;;;;;2;;;;;;;;;;;;;;;;5849;;;;;;;;;;;263;;;14;8;;;;;;42;;;;;;;;;;;;;;;;126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;;7;8;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;;;;36;;;;;;;;;;;;;;;24;;27;;;;;;;;;;;
Grenada;;;;;;;;35;;;;;;;27;;;161;;;;;;;;;;;;13;;;;;;;;205;;;;;;;;;;;;;;;;;;;;;;;;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;308;;;;;;;;;;;;;;105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;147;;341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1980;;;;;;;;;;;;635;;;;308;;;;;;
Guadeloupe;;;124;;;;;;;;;;;;;;;;;310;;;;;;;;;42;;;;;;;;;329;;;;;;;;;;;;;;;;;;;;;;;;5648;1593;;;;;;;;;;;;49084;1030;;;;;209;;;;;;;;;;;125;8515;;;;;133;;;;;;;240;;;;;;;;;;;202;;;;;;;;;;;;;;8167;;;;;;;;;;;;;;;;531;;;;;;;;;;;;;;;;;;310;;;;;344;;;;;;274;;;;;;;;;;;;;;;;;;;;;;;24;;;148;196;;;;;;;;;;;;;;;;;277;;329;;;;;;;;;;;
Guam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2446;;;;;;;;;;;;;;;;;;;;;;250;;;;;;6961;;;;;;;;;;;;;;;;;;2176;;;;1335;;;;;32625;;;193;;3240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19095;;;;;;351;;;;;
Guatemala;;;;;;;;;350;;;44;;;;;;;;;579;;;;86;;;;151;;;;;;;;;251;;;;;191;415;;;730;;;;734;;;418;;;;;;;;;68;105;20;12037;;;;;;;;;163;13;;;;;404;;;;252;;;;;;;;10;;5295;;;;25;12;;;;83;232;;94;;;;;;;;;15;;;;;;;;;;;;;;;;;;11070;;;;;;;;;;;;89;;;5404;;;;;;;16;;190;;38;288;41;;17;65;;1127;;;;;;;;;;;;;;20;;;;;;;;;;;;;833;;29;;;;30;96;49;;;;;;;;;;15;;;;;;;142;;5456;;89;;;175;;;;;;
Guinea;;;;;;;;;;;;;;;;;;;;257;;2936;;;;;;;308;;;;598;;121;;;370;;;;;;166;;;;;;;;3087;;75;;;;;;;;;;;;;;;;;;;;;2050;;;;1012;;1059;1669;;;;;;;;;3495;;;;;;;;;75;;;;;126;;33;;;;;;;;;1063;;138141;;;;;;;;;19422;;;;478;;;;;;;;;;;;;;;;;;;1739;1136;;;;;;;;;;;;;295;;;172;;;;596;;;;;;;;;;851;8455;;;365828;;;;;;;;;73;;;;;;;;36;;;;;1833;;;;;;;;;;104;;;;689;;;;;;;;;;;
Guinea-Bissau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;576;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111;;;;1534;;;;;;;;;;;4968;;;;;;;;;;;;;;;;;;;;;;;;;;;;908;;;;;;;;;;;;;563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;827;;;;;;;;;;;;;;;;;;8119;;;960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;313;;;;;;;;;;;
Guyana;;;;;;;;10;;;;;;;8;;;216;;;;;;;;;;;1074;;;;;;;;;202;;;;;;580;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;108;;;;;;;;;;;;;;;;;;;;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;264;;205;;;;;;;;;;;;;;;;;;;;;2314;;;;;;;;;;;;430;;;;;;;;;290;;632;;;;;1057;;;;;;
Haiti;;;;;;;;;630;;;;230;;;;;;;;;;;;;;;;;;;;;;;;;850;;;;;451;471;;;1121;;;;370;;;1628;;;;;;;;;3257;;;;;;;;;;;;602;;;;;;1213;;;;;;;;;;;;;;;;;;;;;;;;1661;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;415;;;;;;;;;;;;;;;;;;;;;;;;;;;475;;;;2092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1755;;;;;;;511;;;;;;;;;;;;;;;;;;;;2175;;388;;;3397;;;;;;
Holy See;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honduras;;;;;;;;;142;;;;;;;;;;;19;271;;;;110;;;;176;;;;;;;;;259;67;;;;230;443;;;644;;;;639;;;455;;;;47;;;;;101;342;;6574;;;;;;;;;107;;;;;;218;;;;;;;;3421;;;;33;;;;;;;;;;;67;194;20;103;30;;;;;;;;;;;;;;;;;;;;;;;;;;1164;;;;;;;;;;;;68;;;5768;;;;;;;;;296;;26;285;;;;96;;52;;;;19;;;;;;;;;;;;;;;;;;;;;;;391;;114;;;;23;46;;;;;;;;;;;;;;;;;;76;;5061;;50;;;73;;;;;;
Hungary;532;129;467;;;53;;;223;144;;642;5523;103;5;10;46;3;159;1104;1;18;1;;40;;264;4;346;;;1429;;;;51;136;1422;;6;1;;108;7543;;;135;;55;;22;16;1595;417;;189;1088;;18;249;;;24;76;529;9;;6;87;90;;;;476;2613;;;4;7;144;21290;85;;903;;4;;;12;29;6;3;;;7;;88;755;147;1389;565;548;;1147;2609;19;919;270;362;60;;119;90;30;96;235;4;23;217;5;99;94;22;;79;;15;25;;;3;35;;288;;4;863;27;;128;15;6;6;;38;1843;;121;15;9;799;;;793;11;158;;18;1;14;149;170;2752;224;;23;830;150;;146208;3069;12;;3;;;3;;;;220;17;16841;;20;56;;15089;282;;272;230;;819;36;72;117;;;1043;1512;846;12;487;98;;6;;;9;129;1452;;;;22;19867;123;3661;40;4977;;46;79;;131;2345;;;186;12;27
Iceland;1;20;23;;0;19;;;13;2;0;61;72;3;1;1;0;1;1;77;1;0;2;;11;;18;;28;;0;74;0;;37;2;2;195;;;;;52;177;;;62;;;;6;1;11;14;;3;85;;2;2302;0;1;5;13;15;1;1;1;21;31;308;;0;119;257;;;;5;4;1040;19;;10;40;;;;27;7;;13;1;;14;63;;148;75;18;15;54;;19;107;9;44;12;1;23;;1;1;;19;19;;0;0;;32;75;1;1;9;;0;1;;;;7;;38;;1;10;;;84;7;0;19;0;15;153;;37;3;0;33;;;836;;12;;2;1;2;39;675;1491;97;1;2;31;1;;66;508;1;;;;;;;;;2;6;614;;10;11;;3;11;0;1;63;;154;102;;;0;;1547;73;14;3;560;10;;1;;1;3;12;35;0;;;6;22;1;721;10;1392;;6;2;;12;220;;;0;4;8
India;9892;;;;;;;;;;;812;;;;;3879114;;;;;;;8131;;;;;;;31057;;;;;;;2009;;;;;;8695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;210;;1397;;;;;;2626;;;;;;;;;;;;;;;;;;1002;2086;610;;;;;;876;;2696;2912;;7437;;;;;;;;;;;;;15220;243;;;;;;362;;;;;;;;;;61884;;;664187;;;;;;790;;;;;1353231;;;;;;;;191;;;;;;;1649;;;;;;;;;;5476;;;;;5173;;;;;;;;;189850;;;;;;;;;;;;;;;;;129;;;;872;;14662;5952;;3330;;;;;;692;;;;831;
Indonesia;;;;;;;;;;;;1928;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;83502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2527;;;;;;;;;4052;1568;;;;;;;;;;;4480;;;;;;1748;;;;;;;;;;;;;;;;;;;;;300;;;;;;;;;;1773;;;;;;1122;;;;;3513;;;;;;;;;;;;;;1792;;;;;1405;;;;;;;;;;;;;;;;1120;;471;;142028;;;;;;;;;;;;;6751;;2827;;;;;;;;;;;
Iran (Islamic Republic of);2087864;;;;;;;;;599;;;;937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;540400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;683;248;;;;;;;;;;;;;;;;;;;
Iraq;269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12375;;;694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;;42602;;;;;;;;8905;;;;345;;;;1311;;;;;;;;;;;;;;;172;;;;;;;;;504;;;;;;;;;;;;;;;;587;;;;;;;;;;;;;;;235;;;;;;;;;;580;;;;;;;;;;357;;254;;;94124;3267;;;;;5338;;;;;;;;;269;13885;;;;;;248;;;;;;;;;;;;1724;;
Ireland;173;346;686;;3;559;2;3;382;62;8;4267;397;59;31;96;1264;23;712;822;3;39;66;8;22;;748;93;3040;2;19;1081;11;56;5;12;405;2976;29;9;12;;164;7229;1108;;;0;1312;;12;154;589;96;;158;3400;153;60;522;2;2;12;46;621;31;0;45;1529;179;5;5;17;603;5996;;2;6;66;298;7601;587;45;304;2;17;;;145;59;2;34;6;;14;2144;45;6019;148;519;528;;;255;3745;139;616;131;301;562;0;235;37;39;9021;154;45;125;511;3;15984;73;14;88;2197;3;34;184;0;;9;451;;355;0;8;369;0;2;318;46;76;43;;159;2765;8;1542;19;150;10745;;;355;57;3770;;19;15;31;147;6214;40650;979;;40;224;1457;;5520;2943;93;8;3;8;0;3;15;0;;501;26;0;12;229;252;;5284;87;3;618;4979;;4000;278;79;687;14;25;1168;644;133;25;624;763;5;133;;2;131;116;570;6;2;;175;2189;235;131924;147;16225;;65;108;2;148;740;;2;36;396;1480
Isle of Man;;;;;;;;;;;;157;;;;;;;;;;;;;;;;;;;;;;;;;;133;;;;208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;387;;;;;;;;;;;;;;;;;;;;;;;;;;;34442;;178;;;;;;;;;;;
Israel;2790;;30056;;;;;;31828;;;2631;6206;14990;;;;;31040;4690;;;;;;;;;7274;;;19308;;;;;;6238;;;;;3024;921;;;1800;;;;;;;;;;;;;1411;;;;;22599;;;;;57163;;;;474;27534;;;;;21123;26847;;;2030;;;;;;;;;;;;15268;;18502;;51786;75702;;;;5066;;;;9275;;;;1657;;7916;4960;;;19423;;10706;;;;;;;;;;;;;1923;;;;;;166953;;;;;;4832;;;;;;;;;;;;;;;1336;;86990;;;;;23516;;125991;162154;;;;;;;;;;;;;;;;;;;;;10107;;2829;;;;;;1056;3228;10960;3754;;;;;;;;36146;31716;1187;;;;164271;;18218;;61396;;5280;29428;;574;;;;36041;;
Italy;201;274408;15810;;19;1744;;11;20245;279;;5226;10099;98;27;3;23300;22;1674;9092;16;1205;;36;1942;;26839;10;28883;;5;10400;4866;553;5037;292;3468;6280;;63;124;;5164;74865;;;14993;11;3287;;509;12341;29115;11659;;195;5675;40;2031;2610;22;44;17793;21748;43336;5302;60;7417;392;5569;;;17;2210;46478;;;136;641;317;55640;34369;;10037;;8;;;598;1276;268;32;228;33;560;5052;227;43109;1227;8971;1498;2307;;2553;;173;7130;2973;542;1050;11;106;79;179;636;4149;6;212;3371;38;580;628;1097;49;339;11;501;1137;8;;385;10538;;4023;13;203;57;6055;;285569;314;165;35;2;195;9831;;428;436;168;26781;;;975;40;24765;6;580;14;577;46699;85612;43160;5245;;2;3896;6658;;118736;14816;631;;9;11;;6;67;3105;43;92;49429;78207;859;818;208;;3273;4828;5;6842;1238;;19545;41977;373;813;21;8;4038;22130;3399;30;3842;44512;44;1395;;16;82;75563;9618;44;;1;363;13711;19;31644;786;26750;;2596;1161;3;8748;2017;;;227;159;151
Jamaica;;;;;;;;165;;;;;;;713;;;575;;;7;;;;;;;;;;;;;;;;;1414;;;;;;;;;;;;;106;;;1928;;;;;;;;148;;;;143;;;;;;;;;;;;;;;;;;;;222;;;326;;;;;;173;;;1213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134;;;;;;;;;80;;;;;;;;;;;;;;;;103;353;;242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2476;;;;;;;;;5103;;6668;;;;;;;;;;;
Japan;;;;;;;;;3072;;;9189;476;;;;7177;;;525;;;;;;;;;254413;;;;;;;1761;;10089;;;;;;335600;;;;;;;;;;;;;;;;542;;;;;1103;;;;;;;;;613;5371;;;;;;4295;1657;;;;;;;;;;;;;;;;10065;19347;6167;;974;;;1579;;;;;;;;;;;;;;;;;;;;8387;;;;;;;;;1740;;;;;;;;;;;;904;;3264;;;1741;;;380;;7499;;;;;46174;144882;742;370;;;635317;;;;4893;;;;;;;;;;;;;;;1940;;;;;;;;1338;5655;;;;;1158;907;;;29291;;;;;;;;;;;;;;;16526;;44859;;;;;;16909;;;;;
Jordan;76;;417;;;;;;;32;;303;141;;;515;8402;;;88;;;;;;;74;;129;;30;62;;;;;;396;;;32;;;11240;47;;30;;;;;;31;;;160;29;102;;62;;;;;287377;;;91;;93;;;;;480;;;;;;869;34;;75;;;;;;;;;;;;712;;4273;12641;115;55884;64;;1906;375;;126;;25;;;912;;;;2230;;;1182;;;;;;345;;;;;;83;;;;;;;;;726;;29;;;220;243;;77;;;32;;;53;772;3949;;;;;;4664;100;;;272;115;44;;330;724;;;;;;;;;;6108;;72;;;;;28;;;92;72;336;370;15147;1428251;2727;;;109;243;57624;;126;107;;;;;;316;1245;;;;;480;254;981;;3176;;;;;38;;;;2889;;
Kazakhstan;;;;;;;;;;6716;;;;35532;;;;;50780;;;;;;;;;;;;;3131;;;;;;;;;;;;1588;;;;;;;;;;;;;;45244;;;;;;;;;;;817;;;;;;;;;;;2405;160373;;;5763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4946;;817;;;;;;3222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21465;;;;23442;8849;;;2032883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11617;;;;;;;;;34443;771;;;;248273;;;;;;;168223;;;;;;;;
Kenya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137;;;;;;;;;;;;;;;;;;;;;;;;;235;;;;;;;;;106;;20846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;535;;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2519;;;;;;;;;;;;;;;;;;;159197;101;81156;;;;11374;;;;;;;;;;;;;;;;;;;299871;;;;51289;;;;;;;;;;;;
Kiribati;;;;;;;;;;;;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1055;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;302;;;;13;;38;;;;;;;;;;;
Kuwait;1219;;;;;;;;;;;;;;;363;136047;;;;;;;;;;;;;;;;;;;;;;;;795;;;;;;;;;;;;;;;;;;;;;;;;119693;;;2877;;2026;;;;;853;;;;;;;;;;;;;;;;;;;;;;;418664;43100;;;;;;;;;21710;;;;;;;;4125;;;;;;;;;;;;;;;;;;;;;;;;1457;;;;;1294;662;;;;;1060;;;;;139783;;;;;;58906;;;;96;;;;;;;;;;;;;;;733;;;;;;;;;;1929;;0;;20680;8681;28031;;;;;10073;;1666;;;;;;;878;7319;;;;;;9199;6491;;2567;;;;;;;;;33307;;
Kyrgyzstan;;;;;;;;;;4520;;;;8768;;;;;19072;;;;;;;;;;;;;;;;;;;;;;;;;445;;;;;;;;;;;;;;1301;;;;;;;;;;;1050;;;;;241;;;;;;6254;5678;;;;;;;;;;;;;;;;;;;;;;;;;;;;24682;;;;;;1685;;;;;;4761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5453;;;;659;5138;;713;215735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3669;;;;;;;;;1009;1876;;;;52617;;;;;;;15230;;;181;;;;;
Lao People's Democratic Republic;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;1197;;;;;;;;3005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1648;;;;;;;;;;;;;;;;;;;;;;;11611;;;;;
