Country,code,immigration_2000,emmigration_2000,immigration_1995,emmigration_1995,immigration,emmigration,sold,population,norm_sold,country_emm,max_emm,country_imm,max_imm
Montenegro,MNE,0,181128,0,145926,0,35202,-35202,604950,-5818,Serbia,79370,Dominica,250
Morocco,MAR,42500,1947544,40348,1736731,2152,210813,-208661,28793672,-724,United Kingdom of Great Britain and Northern Ireland,8935,France,14547
Mozambique,MOZ,113222,636775,91089,809063,22133,-172288,194421,17711925,1098,France,760148,Malawi,35695
Myanmar,MMR,85376,1121782,99848,811036,-14472,310746,-325218,46719698,-696,South Africa,234274,China,44999
Namibia,NAM,131616,48723,112236,28202,19380,20521,-1141,1794583,-63,Thailand,734129,Angola,48646
Nauru,NRU,2206,1583,2400,1518,-194,65,-259,10335,-2506,South Africa,43615,Kiribati,1006
Nepal,NPL,680689,970932,651911,855995,28778,114937,-86159,23941099,-359,Kiribati,1055,India,543594
Netherlands,NLD,1552220,754428,1343094,734471,209126,19957,189169,15925513,1188,India,664187,Suriname,183613
New_Caledonia,NCL,46612,4937,40990,4606,5622,331,5291,213230,2482,Canada,117329,France,25504
New_Zealand,NZL,645015,489183,555116,416313,89899,72870,17029,3857700,442,French Polynesia,2049,United Kingdom of Great Britain and Northern Ireland,211532
Nicaragua,NIC,29063,496553,25561,431844,3502,64709,-61207,5069310,-1207,Australia,365060,Honduras,10017
Niger,NER,112419,193665,136035,165713,-23616,27952,-51568,11331561,-455,Costa Rica,230085,Mali,43060
Nigeria,NGA,437977,596678,361537,517620,76440,79058,-2618,122283853,-2,Cote d'Ivoire,51009,Benin,143212
Northern_Mariana_Islands,MNP,38613,2772,31106,2655,7507,117,7390,57453,12863,Guam,2176,Philippines,13757
Norway,NOR,278008,163412,223951,150543,54057,12869,41188,4490967,918,Sweden,42464,Sweden,33401
Oman,OMN,596366,15606,521084,13964,75282,1642,73640,2267973,3247,State of Palestine,8695,India,333881
Pakistan,PAK,4178579,3392645,3665602,3338570,512977,54075,458902,142343583,323,India,1353231,India,2161329
Palau,PLW,5714,4009,4568,3371,1146,638,508,19104,2660,Guam,1335,Philippines,2892
Panama,PAN,82912,134702,70440,130157,12472,4545,7927,3030333,262,United States of America,105177,Colombia,21473
Papua_New_Guinea,PNG,23805,4460,31809,4122,-8004,338,-8342,5847590,-142,New Zealand,1117,Australia,10675
Paraguay,PRY,172346,374501,181196,335660,-8850,38841,-47691,5323202,-895,Argentina,315086,Brazil,83208
Peru,PER,65323,691465,55861,501266,9462,190199,-180737,26459944,-683,United States of America,278186,Argentina,8282
Philippines,PHL,233520,3031119,158916,2466796,74604,564323,-489719,77991757,-627,United States of America,1369070,China,88418
Poland,POL,785539,2059493,918272,1786908,-132733,272585,-405318,38258629,-1059,Germany,670656,Ukraine,321013
Portugal,PRT,646280,2174444,528127,2097035,118153,77409,40744,10289898,396,France,831900,Angola,173193
Puerto_Rico,PRI,344921,1562393,328497,1360995,16424,201398,-184974,3810605,-4854,United States of America,1537394,United States of America,233924
Qatar,QAT,349667,14716,353830,13361,-4163,1355,-5518,592467,-931,State of Palestine,9420,Indonesia,133562
Republic_of_Korea,KOR,233371,1930230,118307,1777360,115064,152870,-37806,47008111,-80,United States of America,864125,China,92142
Republic_of_Moldova,MDA,240069,602885,355733,619654,-115664,-16769,-98895,2923783,-3382,Russian Federation,276101,Ukraine,112007
Romania,ROU,112260,1135857,122811,973383,-10551,162474,-173025,22442971,-770,Germany,322922,Republic of Moldova,36316
Russian_Federation,RUS,11891623,10812562,11920139,11670272,-28516,-857710,829194,146596869,566,Ukraine,3745842,Ukraine,3541839
Rwanda,RWA,337752,321694,210742,2065533,127010,-1743839,1870849,7933688,23582,Democratic Republic of the Congo,85936,Democratic Republic of the Congo,163420
Saint_Kitts_and_Nevis,KNA,2784,31121,2014,25669,770,5452,-4682,44083,-10620,United States of America,11054,Guyana,612
Saint_Lucia,LCA,6415,39273,4652,30365,1763,8908,-7145,156737,-4558,United States of America,13524,Guyana,1522
Saint_Pierre_and_Miquelon,SPM,1276,486,1147,479,129,7,122,7516346,2,Canada,372,France,970
Saint_Vincent_and_the_Grenadines,VCT,4036,53175,3874,45195,162,7980,-7818,107787,-7253,United States of America,19984,Trinidad and Tobago,907
Samoa,WSM,5682,94163,4410,81492,1272,12671,-11399,174454,-6534,New Zealand,45849,American Samoa,2007
San_Marino,SMR,3896,3503,3554,2467,342,1036,-694,27460,-2527,Italy,3105,Italy,3540
Sao_Tome_and_Principe,STP,4277,24849,4846,18969,-569,5880,-6449,142264,-4533,Portugal,12417,Cabo Verde,2488
Saudi_Arabia,SAU,5086745,153365,4950773,130502,135972,22863,113109,20663840,548,Libya,26101,India,978992
Senegal,SEN,197885,387983,250016,356528,-52131,31455,-83586,9797731,-853,Gambia,112746,Mauritania,59956
Serbia,SRB,856060,1132817,629705,921141,226355,211676,14679,6199396,237,Germany,597290,Bosnia and Herzegovina,360524
Seychelles,SYC,6095,9290,4514,19208,1581,-9918,11499,81131,14174,Australia,2820,India,2026
Sierra_Leone,SLE,97244,507998,104349,456648,-7105,51350,-58455,4584570,-1275,Guinea,365828,Guinea,70656
Singapore,SGP,1218865,185913,793855,166994,425010,18919,406091,4027887,10082,United Kingdom of Great Britain and Northern Ireland,39131,Malaysia,710434
Sint_Maarten_(Dutch_part),SXM,0,19733,0,16757,0,2976,-2976,30519,-9751,Netherlands,18735,Anguilla,0
Slovakia,SVK,115885,251864,69064,191995,46821,59869,-13048,5388720,-242,Czech Republic,140506,Czech Republic,58709
Slovenia,SVN,170885,118740,174358,108666,-3473,10074,-13547,1988925,-681,Germany,26160,Bosnia and Herzegovina,70054
Solomon_Islands,SLB,3711,2761,3888,2576,-177,185,-362,412665,-87,Australia,1400,Papua New Guinea,1047
Somalia,SOM,555,1003535,18044,898840,-17489,104695,-122184,8872250,-1377,Ethiopia,389419,Ethiopia,555
South_Africa,ZAF,968186,510696,953701,400992,14485,109704,-95219,44967713,-211,United Kingdom of Great Britain and Northern Ireland,136720,Mozambique,234274
South_Sudan,SSD,0,342628,0,438044,0,-95416,95416,29393017,325,Ethiopia,131405,Central African Republic,0
Spain,ESP,1646790,1296623,1012489,1368318,634301,-71695,705996,40567864,1741,France,461791,Morocco,266706
Sri_Lanka,LKA,38504,980194,39215,925014,-711,55180,-55891,18777606,-297,Saudi Arabia,211212,India,31618
State_of_Palestine,PSE,253681,2666403,259733,2274364,-6052,392039,-398091,2922153,-13623,Jordan,1428251,Israel,93814
Sudan,SDN,767247,859202,1019443,745591,-252196,113611,-365807,27275019,-1341,Uganda,360660,Eritrea,435158
Suriname,SUR,16143,213169,13070,193386,3073,19783,-16710,470944,-3548,Netherlands,183613,Guyana,7802
Swaziland,SWZ,19504,33647,23015,30347,-3511,3300,-6811,1005432,-677,South Africa,31276,South Africa,9545
Sweden,SWE,916621,257059,854643,225386,61978,31673,30305,8872109,342,United States of America,49724,Finland,195447
Switzerland,CHE,1468417,367241,1312818,335830,155599,31411,124188,7184250,1729,France,64818,Germany,241379
Syrian_Arab_Republic,SYR,296740,705114,292985,659937,3755,45177,-41422,16410847,-252,Saudi Arabia,322050,State of Palestine,294205
Tajikistan,TJK,298933,501267,347871,525513,-48938,-24246,-24692,6216329,-397,Russian Federation,381090,Russian Federation,251899
Thailand,THA,1257759,526580,809682,409772,448077,116808,331269,62952639,527,United States of America,169801,Myanmar,734129
The_former_Yugoslav_Republic_of_Macedonia,MKD,124336,530867,107917,490666,16419,40201,-23782,2034823,-1168,Turkey,134372,Albania,69367
Timor-Leste,TLS,9327,148379,8570,79837,757,68542,-67785,884366,-7664,Indonesia,142028,Indonesia,5337
Togo,TGO,124475,263575,90722,306378,33753,-42803,76556,4924406,1555,Ghana,72060,Benin,36899
Tonga,TON,1039,46296,921,37878,118,8418,-8300,97962,-8472,New Zealand,17564,Fiji,466
Trinidad_and_Tobago,TTO,37801,302802,42344,246041,-4543,56761,-61304,1267159,-4837,United States of America,197398,Grenada,11148
Tunisia,TUN,29634,480116,31851,467561,-2217,12555,-14772,9708347,-152,France,294250,Algeria,9967
Turkey,TUR,1175736,2812148,1071547,2674497,104189,137651,-33462,63240196,-52,Germany,1649639,Bulgaria,447912
Turkmenistan,TKM,215691,224559,270049,243505,-54358,-18946,-35412,4516128,-784,Russian Federation,174352,Uzbekistan,94517
Turks_and_Caicos_Islands,TCA,7318,759,5901,1536,1417,-777,2194,20171,10878,Bahamas,488,Haiti,4699
Tuvalu,TUV,164,2601,197,2748,-33,-147,114,9392,1214,New Zealand,989,Fiji,77
Uganda,UGA,631630,552537,613212,469016,18418,83521,-65103,23650159,-275,Kenya,299871,Sudan,360660
Ukraine,UKR,5137559,5607505,5774245,5613641,-636686,-6136,-630550,49176500,-1282,Russian Federation,3541839,Russian Federation,3745842
United_Arab_Emirates,ARE,2377888,110945,1781444,97937,596444,13008,583436,3134067,18616,Qatar,38184,India,915848
United_Kingdom_of_Great_Britain_and_Northern_Ireland,GBR,4692050,3849649,4132002,3702760,560048,146889,413159,58892514,702,Australia,1130210,Ireland,515544
United_Republic_of_Tanzania,TZA,920393,219819,1100291,231767,-179898,-11948,-167950,33499177,-501,Kenya,51289,Burundi,608669
United_States_of_America,USA,32512463,1988212,25891540,1836089,6620923,152123,6468800,282162411,2293,Mexico,358399,Mexico,9177487
United_States_Virgin_Islands,VIR,53509,4007,48707,3153,4802,854,3948,108642,3634,Puerto Rico,945,United States of America,15712
Uruguay,URY,81477,234865,86635,233018,-5158,1847,-7005,3319734,-211,Argentina,113827,Spain,24303
Uzbekistan,UZB,1323853,1606869,1433906,1545714,-110053,61155,-171208,24650400,-694,Russian Federation,913322,Russian Federation,1085999
Vanuatu,VUT,1361,6459,1451,5814,-90,645,-735,184964,-397,New Caledonia,4156,Australia,450
Venezuela_(Bolivarian_Republic_of),VEN,1013437,317323,1018672,240494,-5235,76829,-82064,24192449,-339,United States of America,107031,Colombia,617182
Viet_Nam,VNM,53376,1849385,49803,1526892,3573,322493,-318920,79910411,-399,United States of America,988174,Cambodia,15945
Yemen,YEM,112692,528854,104345,485796,8347,43058,-34711,17409071,-199,Saudi Arabia,301194,Somalia,69012
Zambia,ZMB,315441,160100,232452,140354,82989,19746,63243,10415942,608,Malawi,45797,Angola,220248
Zimbabwe,ZWE,361939,310482,393451,252379,-31512,58103,-89615,11881482,-754,South Africa,127073,Mozambique,197830
